,Name,Year,ID,Rating,Complexity,Overall Rank,Plays Last Month,Owns,Wants,Wishlists,Abstract Rank,Customizable Rank,Thematic Rank,Family Rank,Children Rank,Party Rank,Strategy Rank,War Rank
197,Code 777,1985,443,6.1157,2.3193,2343,7,2762,93,445,100.0,,,,,,,
198,Arkham Horror: The Card Game (Revised Edition),2021,359609,7.00067,3.6806,455,782,6005,116,892,,2.0,,,,,,
199,Summoner Wars (Second Edition),2021,332800,7.07997,2.6145,385,411,6777,228,2306,,5.0,,,,,,
200,The Lord of the Rings: The Card Game – Revised Core Set,2022,349067,6.9219,3.5152,553,610,5877,158,1152,,6.0,,,,,,
201,Summoner Wars: Alliances Master Set,2014,158889,6.64686,2.7234,937,4,3542,111,591,,7.0,,,,,,
202,System Gateway (fan expansion for Android: Netrunner),2021,345976,6.1888,3.4286,2041,90,1239,35,209,,8.0,,,,,,
203,The Lord of the Rings: The Card Game,2011,77423,7.39994,3.2076,160,1009,37180,368,3730,,9.0,,,,,,
204,Star Wars: X-Wing (Second Edition),2018,252328,6.9075,3.0952,566,127,6588,75,495,,10.0,,,,,,68.0
205,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,2015,183562,6.80789,2.8421,682,3,8216,44,251,,11.0,,,,,,
206,Star Wars: X-Wing Miniatures Game,2012,103885,7.39342,2.4943,166,40,40629,262,2246,,12.0,,,,,,62.0
207,Star Wars: Legion,2018,233571,6.54732,3.4815,1112,43,5021,109,678,,13.0,,,,,,
208,Earthborne Rangers,2023,342900,6.45477,3.4674,1300,958,3689,592,4410,,14.0,,,,,,
209,Mage Wars Arena,2012,101721,7.06317,3.681,399,12,13814,257,2378,,15.0,,,,,,
210,A Game of Thrones: The Card Game (Second Edition),2015,169255,6.81462,3.52,678,119,9397,96,824,,16.0,,,,,,
211,Summoner Wars: Master Set,2011,93260,7.13443,2.5258,327,25,13442,346,2242,,17.0,,,,,,
212,Summoner Wars: Guild Dwarves vs Cave Goblins,2009,82420,6.5886,2.2319,1033,2,5267,57,213,,18.0,,,,,,
213,Magic: The Gathering,1993,463,7.39904,3.2579,163,2745,43291,242,812,,19.0,,,,,,
214,Summoner Wars: Phoenix Elves vs Tundra Orcs,2009,82421,6.61127,2.3049,998,3,5658,69,228,,20.0,,,,,,
215,Heroscape Master Set: Swarm of the Marro,2007,27976,6.60451,2.2672,1016,3,4882,151,332,,21.0,,,,,,
216,Warhammer Underworlds: Shadespire,2017,224597,6.61319,2.5161,993,46,4851,102,712,,22.0,,,,,,
217,Aeon's End: Legacy of Gravehold,2021,331212,6.13885,3.55,2242,84,2676,62,408,,23.0,,,,,,
218,Aristeia!,2017,230889,6.30194,2.9762,1670,17,1967,83,456,,24.0,,,,,,
219,Codex: Card-Time Strategy – Deluxe Set,2016,131111,6.28806,3.6613,1711,13,1398,192,1085,,25.0,,,,,,
220,Pagan: Fate of Roanoke,2022,319910,6.63553,2.9881,957,320,4271,149,1811,,26.0,,,,,,
221,KeyForge: Mass Mutation,2020,301607,5.99926,2.8182,2867,11,1618,20,92,,27.0,,,,,,
222,Heroscape Master Set: Rise of the Valkyrie,2004,11170,6.97813,2.296,476,39,13029,217,996,,28.0,,,,,,
223,Pathfinder Adventure Card Game: Mummy's Mask – Base Set,2016,187687,6.00714,2.8571,2822,22,1917,56,247,,29.0,,,,,,
224,Star Wars: Destiny,2016,205359,6.83322,2.4466,652,67,8742,112,554,,30.0,,,,,,
225,Netrunner,1996,1301,6.5131,2.9336,1178,0,3426,116,369,,31.0,,,,,,
226,Flesh and Blood,2019,293348,6.14348,3.4839,2220,256,1380,23,148,,32.0,,,,,,
227,KeyForge: Worlds Collide,2019,285775,6.18023,3.0312,2074,12,3388,18,107,,33.0,,,,,,
228,KeyForge: Age of Ascension,2019,272453,6.40042,2.7105,1420,21,6473,24,164,,34.0,,,,,,
229,Summoner Wars,2009,58281,6.78711,2.3387,710,40,6091,184,1579,,35.0,,,,,,
230,Ashes Reborn: Rise of the Phoenixborn,2015,167400,6.75329,2.8984,767,192,11370,222,1786,,36.0,,,,,,
231,DC Comics Dice Masters: Justice League,2015,138649,6.21249,2.2857,1960,9,3260,30,172,,37.0,,,,,,
232,KeyForge: Call of the Archons,2018,257501,6.78806,2.4867,707,181,16889,86,1209,,38.0,,,,,,
233,Warhammer: Invasion,2009,47185,6.71794,2.7349,821,32,8094,83,625,,39.0,,,,,,
234,"Warhammer 40,000: Conquest",2014,156776,6.55821,3.05,1090,26,6035,83,478,,40.0,,,,,,
235,Pathfinder Adventure Card Game: Wrath of the Righteous – Base Set,2015,169416,6.17511,3.0465,2093,20,3692,60,289,,41.0,,,,,,
236,Pathfinder Adventure Card Game: Skull &amp; Shackles – Base Set,2014,151007,6.46812,2.9271,1270,43,6964,77,431,,42.0,,,,,,
237,Dungeons &amp; Dragons Dice Masters: Battle for Faerûn,2015,160902,6.20678,2.1967,1984,3,3524,41,219,,43.0,,,,,,
238,Marvel Dice Masters: Uncanny X-Men,2014,158275,6.5409,2.3684,1123,10,8054,39,233,,44.0,,,,,,
239,Legend of the Five Rings: The Card Game,2017,184151,6.48648,4,1233,11,6734,59,705,,45.0,,,,,,
240,Star Wars: The Card Game,2012,103886,6.66737,2.968,909,27,10956,130,835,,46.0,,,,,,
241,Marvel Dice Masters: Avengers vs. X-Men,2014,148575,6.64075,2.2984,950,20,9816,138,688,,47.0,,,,,,
242,Marvel Dice Masters: Age of Ultron,2015,168998,6.16971,2.4615,2117,1,3588,27,138,,48.0,,,,,,
243,Marvel Dice Masters: The Amazing Spider-Man,2015,177939,5.92153,2.1,3353,1,1922,27,88,,49.0,,,,,,
244,Doomtown: Reloaded,2014,156714,6.29011,3.597,1702,10,6297,72,628,,50.0,,,,,,
245,Dungeon Command: Curse of Undeath,2012,124969,5.94731,2.5227,3171,0,1956,75,268,,51.0,,,,,,
246,Middle-earth,1995,1915,6.3284,3.7352,1598,5,3215,146,256,,52.0,,,,,,
247,Dungeon Command: Blood of Gruumsh,2013,126008,5.9067,2.4848,3445,0,1834,72,236,,53.0,,,,,,
248,Riftforce,2021,291859,6.44414,2.1029,1328,213,4930,97,897,,54.0,,,,,,
249,Dungeon Command: Tyranny of Goblins,2012,124968,5.92752,2.7143,3303,0,2019,61,214,,55.0,,,,,,
250,Mage Wars Academy,2015,172503,6.10147,3.0645,2404,1,3894,60,524,,56.0,,,,,,
251,Legend of the Five Rings,1995,1887,6.21181,3.2905,1963,1,2320,41,151,,57.0,,,,,,
252,Disney Lorcana,2023,369646,6.28625,2.0952,1716,4469,3668,61,579,,58.0,,,,,,
253,Dungeon Command: Heart of Cormyr,2012,124965,6.00965,2.5962,2813,0,2405,58,251,,59.0,,,,,,
254,Deadlands: Doomtown,1998,1037,5.90689,3.0167,3442,0,951,59,128,,60.0,,,,,,
255,Aventuria: Adventure Card Game,2016,190400,6.03754,2.5312,2668,35,1996,91,514,,61.0,,,,,,
256,Runewars Miniatures Game,2017,205907,5.90883,3.0588,3433,1,2087,25,263,,62.0,,,,,,
257,Sorcerer,2019,181819,6.18511,2.913,2056,13,3378,79,791,,63.0,,,,,,
258,Dungeon Command: Sting of Lolth,2012,122588,5.99526,2.6226,2887,0,2367,65,311,,64.0,,,,,,
259,Codex: Card-Time Strategy – Core Set,2016,215437,5.87127,3.4545,3709,0,957,38,167,,65.0,,,,,,
